"Lugar, día, rango horario:",16/03/2016 16:45 a 18:00   -   Parada del 98,,,,,,,,
Línea,98/1,98/3,98/2,98/116,98/5,98/116,98/116,98/3,98/3
Hora,16:45,16:58,16:59,17:00,17:01,17:02,17:04,17:12,17:14
Tiempo Detenido (segundos),20,30,10,40,30,45,15,20,20
Suben,2,5,0,12,6,9,2,3,6
Bajan,,,,,,,,,
Vacio,x,,x,,,,,,
"No vacío, asientos libres",,,,x,x,x,x,,
"No completo, sin asientos",,,,,,,,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),6,18,20,22,12,13,7,15,17
,,,,,,,,,
Línea,98/1,98/116,98/116,98/5,98/2,98/5,98/3,98/116,98/5
Hora,17:15,17:16,17:18,17:20,17:30,17:31,17:32,17:35,17:45
Tiempo Detenido (segundos),25,20,25,15,25,30,20,50,25
Suben,6,6,6,2,6,6,4,12,1
Bajan,1,2,2,0,3,0,2,3,3
Vacio,,,,,,,,,
"No vacío, asientos libres",X,,,X,,,,,
"No completo, sin asientos",,X,X,,X,X,X,X,X
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),12,7,7,2,16,16,10,12,6
,,,,,,,,,
Línea,98/116,98/3,98/5,98/116,,,,,
Hora,17:50,17:55,18:01,18:01,,,,,
Tiempo Detenido (segundos),25,20,25,20,,,,,
Suben,8,3,3,2,,,,,
Bajan,3,1,1,0,,,,,
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",X,X,X,X,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),8,4,6,3,,,,,
