"Lugar, día, rango horario:",02/06/2015 16:45 a 18:00   -   Paradas del 24/74/98/148,,,,,,,,
Línea,148,98,148,98,148,74,98,98,24
Hora,16:47,16:48,16:50,16:51,16:53,16:53,16:54,16:54,16:56
Tiempo Detenido (segundos),0,20,,20,15,15,10,30,30
Suben,0,7,0,5,2,0,2,16,2
Bajan,0,1,0,7,7,0,0,9,0
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),30,30,30,30,30,28,30,30,15
,,,,,,,,,
Línea,24,148,148,98,148,148,98,98,98
Hora,16:57,16:57,16:58,17:00,17:02,17:04,17:06,17:07,17:08
Tiempo Detenido (segundos),10,15,15,30,0,20,30,20,30
Suben,2,4,10,9,0,12,10,4,7
Bajan,2,2,2,3,0,0,4,5,0
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),13,21,23,21,35,más de 40,más de 50,más de 60,más de 50
,,,,,,,,,
Línea,74,148,148,98,98,74,98,148,148
Hora,17:10,17:11,17:12,17:13,17:16,17:19,17:19,17:22,17:23
Tiempo Detenido (segundos),15,25,0,15,120,1,120,25,25
Suben,4,17,0,4,30,6,25,7,5
Bajan,0,0,0,9,0,10,5,0,2
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),más de 50,más de 50,más de 50,más de 50,más de 50,30,más de 40,más de 50,más de 50
,,,,,,,,,
Línea,98,148,148,148,24,24,98,24,148
Hora,17:24,17:24,17:26,17:26,17:28,17:29,17:30,17:31,17:32
Tiempo Detenido (segundos),10,60,40,0,60,60,60,60,60
Suben,2,15,7,0,25,23,20,14,10
Bajan,0,0,0,0,10,8,2,10,4
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),más de 50,más de 50,más de 50,más de 50,más de 50,más de 50,más de 40,más de 50,más de 60
,,,,,,,,,
Línea,148,98,24,98,98,148,148,98,24
Hora,17:37,17:38,17:39,17:42,17:42,17:43,17:44,17:45,17:46
Tiempo Detenido (segundos),60,60,30,30,40,30,15,30,30
Suben,32,30,18,6,10,10,1,9,6
Bajan,0,2,4,4,0,0,0,6,10
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",,,x,x,x,x,x,x,x
Completo,x,x,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),más de 50,más de 50,más de 50,más de 50,más de 50,más de 30,más de 40,más de 50,más de 50
,,,,,,,,,
Línea,148,24,24,98,148,98,148,148,98
Hora,17:47,17:47,17:48,17:49,17:50,17:53,17:55,17:56,18:00
Tiempo Detenido (segundos),30,20,20,20,0,40,30,30,30
Suben,10,6,0,2,0,12,4,5,4
Bajan,0,0,10,10,0,3,2,0,5
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,x,x,x,x
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),8,4,7,12,12,14,15,10,4
